type,program,catalog,reqs_url,4_yr_plan
BS,Biology: Option 3,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option3-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option3-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 3,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option3-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 3,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option3-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option3-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 3,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option3-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option3-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 4,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option4-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 4,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option4-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option4-4-yr-plan-18-20-catalog_0.pdf
BS,Biology: Option 4,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option4-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option4-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 4,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option4-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option4-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 5,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option5-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 5,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option5-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option5-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 5,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option5-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option5-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 5,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option5-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option5-4-yr-plan-22-24-catalog_2.pdf
